CarID,Brand,Model,Year,Price,Mileage,Fuel,Color,Owner,Location
1,Unknown Brand,Corolla,2012,50000,60000,Unknown Fuel,Red,Third,Miami
2,Tesla,Corolla,0,25000,30000,Hybrid,Gray,Unknown Owner,Unknown Location
3,Honda,Model S,2018,40000,45000,Diesel,Red,Unknown Owner,Unknown Location
4,Unknown Brand,Mustang,2012,0,0,Petrol,White,Second,Houston
5,BMW,Civic,2015,20000,75000,Petrol,White,First,Los Angeles
6,Hyundai,Unknown Model,0,60000,100000,Hybrid,Blue,Third,Houston
7,Honda,Unknown Model,2020,0,45000,Petrol,Silver,Unknown Owner,Phoenix
8,Honda,Civic,2015,25000,45000,Electric,White,Third,New York
9,Unknown Brand,Mustang,2018,40000,100000,Hybrid,Unknown Color,First,Los Angeles
10,Ford,Model S,2015,25000,75000,Hybrid,Blue,Unknown Owner,Phoenix
11,BMW,Unknown Model,0,20000,30000,Unknown Fuel,Blue,First,Los Angeles
12,Unknown Brand,Focus,2020,25000,15000,Diesel,Black,Unknown Owner,Chicago
13,BMW,Unknown Model,2020,50000,45000,Unknown Fuel,White,Third,Los Angeles
14,BMW,Model S,0,50000,60000,Diesel,Gray,Second,Los Angeles
15,Hyundai,Corolla,2018,40000,60000,Diesel,Unknown Color,Second,Houston
16,Honda,Corolla,0,40000,75000,Unknown Fuel,Red,Unknown Owner,Unknown Location
17,Tesla,Corolla,2015,40000,60000,Diesel,Blue,Unknown Owner,Phoenix
18,Hyundai,Model S,0,20000,60000,Electric,Gray,Second,Miami
19,Hyundai,Corolla,2020,60000,15000,Unknown Fuel,Blue,Unknown Owner,Phoenix
20,BMW,Mustang,2018,25000,15000,Diesel,Unknown Color,First,Houston
21,Nissan,Corolla,0,20000,60000,Petrol,Unknown Color,Unknown Owner,New York
22,Honda,Model S,2020,20000,0,Unknown Fuel,Gray,Second,Phoenix
23,Ford,Focus,0,25000,15000,Hybrid,Red,Unknown Owner,Los Angeles
24,Hyundai,Unknown Model,2010,0,100000,Hybrid,Unknown Color,Third,Chicago
25,Tesla,Model S,2010,25000,100000,Petrol,Black,First,Unknown Location
26,Nissan,Model S,2020,50000,45000,Hybrid,Red,Unknown Owner,Unknown Location
27,Nissan,Civic,2018,20000,15000,Petrol,Unknown Color,Second,Miami
28,Ford,Corolla,2010,30000,75000,Petrol,White,Unknown Owner,Houston
29,Hyundai,Accord,2020,0,0,Diesel,White,Second,Miami
30,Tesla,Focus,0,60000,15000,Electric,Red,First,Unknown Location
31,Honda,Accord,2012,0,15000,Petrol,White,Third,Unknown Location
32,Toyota,Civic,0,30000,45000,Petrol,Gray,Unknown Owner,Los Angeles
33,Tesla,Focus,2015,60000,30000,Unknown Fuel,Blue,Unknown Owner,Unknown Location
34,Ford,Corolla,2020,0,75000,Diesel,Gray,First,Miami
35,Nissan,Accord,2010,25000,30000,Petrol,Silver,Third,Miami
36,Honda,Corolla,2020,30000,0,Electric,Silver,Third,Phoenix
37,Tesla,Corolla,0,60000,30000,Electric,Silver,Second,Los Angeles
38,Toyota,Unknown Model,2018,30000,0,Unknown Fuel,Black,Unknown Owner,Phoenix
39,Toyota,Focus,2010,30000,15000,Diesel,Gray,Unknown Owner,Phoenix
40,BMW,Focus,2018,25000,15000,Unknown Fuel,Gray,Unknown Owner,Chicago
41,BMW,Civic,2018,0,45000,Hybrid,Unknown Color,First,Los Angeles
42,Unknown Brand,Model S,0,0,0,Diesel,Blue,Third,Unknown Location
43,Ford,Corolla,2018,50000,15000,Unknown Fuel,Silver,Second,Houston
44,Hyundai,Corolla,2020,40000,75000,Diesel,Blue,Third,Miami
45,Tesla,Accord,2010,25000,30000,Petrol,Black,Unknown Owner,Miami
46,Tesla,Civic,2018,60000,0,Hybrid,White,First,New York
47,Hyundai,Focus,2012,0,15000,Diesel,Silver,Third,Phoenix
48,Unknown Brand,Unknown Model,2015,40000,60000,Diesel,Red,Third,Phoenix
49,Nissan,Focus,2020,40000,30000,Hybrid,Silver,Third,New York
50,Nissan,Unknown Model,2012,50000,0,Petrol,Unknown Color,Third,New York
51,Unknown Brand,Unknown Model,2010,20000,15000,Electric,White,Third,New York
52,Nissan,Focus,2015,25000,100000,Hybrid,Black,Unknown Owner,Houston
53,BMW,Accord,2018,40000,30000,Hybrid,White,First,Unknown Location
54,Tesla,Corolla,2012,30000,30000,Unknown Fuel,Blue,Third,Miami
55,Unknown Brand,Unknown Model,2012,30000,75000,Petrol,Silver,First,Los Angeles
56,Tesla,Accord,2018,60000,30000,Petrol,Black,Unknown Owner,Chicago
57,Hyundai,Civic,0,20000,60000,Petrol,Silver,First,Unknown Location
58,Toyota,Civic,0,50000,30000,Unknown Fuel,Gray,Second,Chicago
59,BMW,Unknown Model,2018,40000,15000,Hybrid,Black,Second,Phoenix
60,Honda,Corolla,2012,30000,15000,Petrol,Black,Second,Unknown Location
61,BMW,Unknown Model,2010,40000,30000,Petrol,Blue,Third,Unknown Location
62,Unknown Brand,Civic,2020,30000,100000,Petrol,Gray,Third,Houston
63,Honda,Mustang,2010,60000,60000,Electric,Red,Second,Houston
64,Toyota,Civic,2010,25000,15000,Petrol,Silver,Unknown Owner,New York
65,Unknown Brand,Focus,2020,0,15000,Diesel,Gray,First,Miami
66,Ford,Mustang,2010,30000,30000,Electric,Unknown Color,Second,Miami
67,Tesla,Corolla,2015,25000,0,Electric,Silver,Second,Phoenix
68,Toyota,Focus,2018,0,0,Petrol,Red,Second,Unknown Location
69,Tesla,Mustang,2012,20000,45000,Unknown Fuel,Blue,First,Houston
70,Nissan,Accord,2020,0,0,Hybrid,Red,Third,Los Angeles
71,Ford,Mustang,2010,25000,60000,Unknown Fuel,Silver,Third,Unknown Location
72,Ford,Accord,2012,50000,15000,Unknown Fuel,Red,Second,New York
73,Toyota,Accord,0,30000,60000,Hybrid,Gray,Unknown Owner,Chicago
74,Ford,Mustang,2015,60000,45000,Electric,Gray,Third,Los Angeles
75,Honda,Mustang,2010,50000,60000,Electric,Silver,Unknown Owner,Houston
76,Ford,Model S,2010,60000,45000,Unknown Fuel,Black,First,Unknown Location
77,Tesla,Mustang,2010,20000,60000,Hybrid,Silver,Unknown Owner,Houston
78,Tesla,Accord,2015,40000,45000,Electric,Black,Unknown Owner,Phoenix
79,Unknown Brand,Unknown Model,2018,60000,100000,Petrol,Silver,First,Phoenix
80,Tesla,Focus,2012,50000,15000,Diesel,White,First,Houston
81,Unknown Brand,Accord,2010,20000,45000,Diesel,Silver,Third,Chicago
82,Tesla,Corolla,0,0,0,Hybrid,Black,Unknown Owner,Unknown Location
83,Honda,Mustang,2010,25000,30000,Electric,Black,Unknown Owner,Miami
84,Hyundai,Accord,2015,20000,45000,Unknown Fuel,Blue,Third,Miami
85,Unknown Brand,Unknown Model,2015,20000,45000,Petrol,Blue,Unknown Owner,Unknown Location
86,BMW,Mustang,2012,30000,100000,Unknown Fuel,Unknown Color,Unknown Owner,Unknown Location
