Order_ID,Product,Category,Region,Sales,Quantity,Discount,Profit,Customer_Age,Rating
ORD-00001,Phone,Electronics,West,1225.51,11,40.69,-459.32,64,4.4
ORD-00002,Tablet,Furniture,West,1267.03,9,10.9,-406.84,58,1.8
ORD-00003,Chair,Electronics,East,688.99,9,8.96,237.0,26,1.9
ORD-00004,Tablet,Furniture,West,99.0,3,45.4,883.15,52,3.8
ORD-00005,Tablet,Office Supplies,South,1084.21,4,23.72,-57.71,53,2.8
ORD-00006,Desk,Electronics,South,1039.72,8,34.36,-305.65,45,3.1
ORD-00007,Chair,Electronics,East,877.62,13,14.34,76.61,49,1.3
ORD-00008,Chair,Furniture,North,573.48,7,24.99,827.71,21,2.2
ORD-00009,Chair,Office Supplies,West,1689.23,1,11.69,-320.93,59,1.1
ORD-00010,Tablet,Office Supplies,East,752.79,14,30.31,-326.55,40,4.6
ORD-00011,Phone,Electronics,West,271.06,14,7.92,-224.26,51,4.3
ORD-00012,Chair,Furniture,South,1521.08,4,7.44,-442.86,36,2.3
ORD-00013,Monitor,Office Supplies,South,1279.83,3,34.23,-183.28,30,1.2
ORD-00014,Tablet,Office Supplies,East,632.12,5,19.99,967.32,57,3.6
ORD-00015,Desk,Office Supplies,West,319.26,10,43.0,678.28,61,2.2
ORD-00016,Phone,Furniture,South,890.54,3,17.24,626.44,46,3.7
ORD-00017,Monitor,Furniture,West,150.55,4,18.07,525.62,62,2.0
ORD-00018,Monitor,Electronics,South,461.06,6,10.88,808.64,40,4.0
ORD-00019,Desk,Furniture,South,1928.65,14,39.84,-361.98,46,1.9
ORD-00020,Phone,Office Supplies,South,317.98,14,47.04,-10.51,18,3.7
ORD-00021,Tablet,Electronics,South,564.46,7,18.49,555.55,60,3.7
ORD-00022,Laptop,Furniture,North,295.16,9,21.49,694.82,56,1.8
ORD-00023,Phone,Office Supplies,East,1825.76,14,15.75,739.77,46,1.2
ORD-00024,Desk,Office Supplies,West,1851.18,7,0.22,970.66,46,1.1
ORD-00025,Monitor,Electronics,South,137.75,2,39.48,344.09,60,4.0
ORD-00026,Tablet,Electronics,South,1798.48,1,17.82,-168.57,62,4.3
ORD-00027,Phone,Furniture,South,301.8,14,47.52,-170.87,34,1.4
ORD-00028,Laptop,Furniture,East,806.64,9,6.25,378.4,55,1.1
ORD-00029,Laptop,Electronics,West,1180.86,2,36.83,557.2,46,4.3
ORD-00030,Chair,Electronics,East,935.58,12,45.14,370.43,22,1.1
ORD-00031,Chair,Office Supplies,East,289.12,7,32.67,574.2,51,4.4
ORD-00032,Desk,Furniture,South,1587.33,4,29.58,-40.96,58,4.2
ORD-00033,Phone,Office Supplies,West,1381.08,11,19.9,190.13,52,4.3
ORD-00034,Phone,Electronics,South,1883.58,4,21.91,64.36,22,1.7
ORD-00035,Monitor,Electronics,East,718.84,4,31.82,282.17,32,3.8
ORD-00036,Monitor,Electronics,North,872.18,4,23.11,350.55,51,3.9
ORD-00037,Monitor,Furniture,North,712.51,9,49.38,528.36,53,3.7
ORD-00038,Chair,Electronics,East,144.72,9,23.03,-436.42,49,1.7
ORD-00039,Phone,Electronics,South,128.84,10,44.79,653.35,42,2.4
ORD-00040,Phone,Furniture,South,1527.43,5,13.11,832.43,19,1.6
ORD-00041,Laptop,Electronics,West,584.02,6,33.27,852.44,31,1.6
ORD-00042,Chair,Furniture,West,984.52,6,48.41,350.12,38,2.1
ORD-00043,Tablet,Electronics,North,1958.36,2,48.83,466.24,41,4.2
ORD-00044,Chair,Furniture,South,54.96,9,17.95,334.55,29,4.0
ORD-00045,Tablet,Furniture,East,1044.96,5,18.39,138.79,45,4.0
ORD-00046,Laptop,Furniture,South,1046.08,2,7.83,-349.16,57,1.4
ORD-00047,Desk,Furniture,South,1997.13,4,4.26,-252.76,28,3.8
ORD-00048,Phone,Office Supplies,East,1671.97,8,12.96,-193.78,32,2.4
ORD-00049,Laptop,Furniture,North,152.27,8,25.79,-140.48,39,4.3
ORD-00050,Phone,Furniture,East,331.07,2,31.77,648.77,57,2.4
ORD-00051,Monitor,Furniture,South,87.14,11,4.32,83.23,49,1.6
ORD-00052,Desk,Furniture,East,409.73,3,31.33,-289.18,27,4.2
ORD-00053,Desk,Electronics,West,440.42,11,19.42,480.89,25,1.5
ORD-00054,Laptop,Electronics,West,197.98,1,4.63,-27.17,43,1.7
ORD-00055,Desk,Furniture,West,1063.9,5,1.16,475.09,32,1.4
ORD-00056,Tablet,Furniture,West,1950.52,10,42.21,-367.41,26,2.3
ORD-00057,Desk,Office Supplies,East,1611.57,5,41.6,-477.21,20,1.3
ORD-00058,Phone,Furniture,North,422.68,4,45.18,938.86,41,2.9
ORD-00059,Phone,Furniture,North,1570.34,9,44.64,-318.35,50,3.2
ORD-00060,Phone,Furniture,West,1964.84,3,48.77,-485.92,33,2.2
ORD-00061,Phone,Electronics,South,1673.76,8,14.64,841.43,59,3.5
ORD-00062,Tablet,Furniture,East,947.98,10,16.94,690.97,61,4.1
ORD-00063,Chair,Furniture,South,553.28,4,31.89,-261.89,19,2.8
ORD-00064,Monitor,Office Supplies,West,1500.82,10,20.29,-62.65,43,2.4
ORD-00065,Laptop,Electronics,East,1577.17,7,30.89,897.08,33,3.3
ORD-00066,Phone,Office Supplies,West,607.74,3,13.48,671.93,59,3.7
ORD-00067,Desk,Furniture,East,463.88,6,42.24,941.2,21,4.7
ORD-00068,Phone,Office Supplies,West,1350.77,1,33.03,801.29,42,2.5
ORD-00069,Desk,Furniture,North,1779.09,7,27.72,-242.35,43,4.0
ORD-00070,Monitor,Furniture,East,61.01,3,32.44,482.96,63,1.3
ORD-00071,Monitor,Electronics,North,1974.44,4,4.52,939.26,51,2.8
ORD-00072,Monitor,Office Supplies,West,399.87,4,25.66,-225.74,43,1.9
ORD-00073,Desk,Furniture,East,711.85,6,44.0,-332.96,36,3.4
ORD-00074,Phone,Office Supplies,South,124.8,9,28.46,359.57,59,4.5
ORD-00075,Monitor,Electronics,South,129.97,5,9.92,939.59,31,1.5
ORD-00076,Tablet,Furniture,East,560.05,9,3.06,342.36,56,1.8
ORD-00077,Desk,Electronics,North,1138.74,6,44.58,155.38,40,5.0
ORD-00078,Desk,Office Supplies,West,1804.14,1,45.83,35.89,29,2.5
ORD-00079,Phone,Office Supplies,North,158.3,6,46.41,798.78,53,1.0
ORD-00080,Desk,Office Supplies,North,1100.88,7,38.0,183.08,39,3.0
ORD-00081,Desk,Furniture,East,843.95,4,16.1,-136.72,41,3.9
ORD-00082,Monitor,Furniture,South,1978.74,14,29.71,149.54,52,4.1
ORD-00083,Phone,Furniture,West,390.47,11,23.82,33.94,18,2.8
ORD-00084,Monitor,Electronics,North,751.64,10,42.5,118.35,32,3.8
ORD-00085,Monitor,Office Supplies,South,86.25,1,30.45,-320.99,58,1.4
ORD-00086,Phone,Office Supplies,North,1830.19,2,34.57,335.03,52,1.9
ORD-00087,Laptop,Office Supplies,East,1252.39,14,24.12,318.85,32,2.1
ORD-00088,Monitor,Electronics,East,1183.92,7,33.54,684.19,60,4.8
ORD-00089,Tablet,Furniture,North,116.49,14,25.98,-496.63,27,1.1
ORD-00090,Tablet,Electronics,South,216.02,7,44.86,-452.3,45,1.8
ORD-00091,Desk,Office Supplies,North,1584.74,7,12.26,622.68,45,5.0
ORD-00092,Tablet,Office Supplies,West,1107.95,12,28.12,42.69,59,4.6
ORD-00093,Desk,Electronics,North,414.04,2,4.52,-368.17,28,3.4
ORD-00094,Laptop,Furniture,West,1108.64,13,9.54,585.18,30,3.8
ORD-00095,Phone,Furniture,North,1936.87,10,19.56,813.89,53,1.2
ORD-00096,Phone,Office Supplies,West,225.33,4,27.17,246.05,45,4.7
ORD-00097,Phone,Electronics,South,1941.01,10,28.29,76.38,35,3.5
ORD-00098,Tablet,Furniture,North,1554.67,13,1.48,-276.14,44,1.3
ORD-00099,Laptop,Electronics,North,305.58,6,34.62,-279.63,59,3.0
ORD-00100,Tablet,Office Supplies,West,1633.07,9,41.29,494.09,62,2.6
ORD-00101,Tablet,Office Supplies,East,1493.16,5,7.87,4.03,52,2.3
ORD-00102,Laptop,Office Supplies,South,1156.37,9,31.08,878.7,47,1.0
ORD-00103,Laptop,Office Supplies,East,1553.23,13,46.15,-415.0,37,3.3
ORD-00104,Laptop,Furniture,East,299.67,4,29.97,-415.24,40,3.0
ORD-00105,Laptop,Office Supplies,North,1448.81,8,7.14,968.94,30,4.3
ORD-00106,Phone,Furniture,North,1289.04,13,4.98,930.98,41,3.3
ORD-00107,Chair,Furniture,North,583.67,14,10.12,-233.5,50,1.5
ORD-00108,Chair,Electronics,East,1386.94,4,15.13,792.33,40,2.5
ORD-00109,Laptop,Office Supplies,South,1364.12,12,17.48,822.28,51,4.1
ORD-00110,Chair,Furniture,West,493.3,5,25.71,886.69,26,2.0
ORD-00111,Chair,Electronics,West,312.42,10,32.83,-269.21,47,3.1
ORD-00112,Laptop,Electronics,West,737.29,7,8.26,-426.3,23,1.2
ORD-00113,Chair,Office Supplies,South,810.34,6,27.52,-369.47,49,3.1
ORD-00114,Tablet,Office Supplies,East,1651.82,4,32.19,866.86,23,4.4
ORD-00115,Desk,Electronics,East,883.44,7,19.84,694.28,34,3.2
ORD-00116,Desk,Furniture,South,1478.46,7,23.97,67.61,49,2.3
ORD-00117,Laptop,Office Supplies,North,936.14,14,37.28,793.1,37,1.1
ORD-00118,Phone,Electronics,South,152.91,3,40.85,867.28,55,4.1
ORD-00119,Laptop,Electronics,East,1312.43,10,20.69,272.05,54,2.4
ORD-00120,Phone,Furniture,West,1792.86,14,13.48,-182.61,46,3.6
